iter	Passed	Remaining
0	238	238390
1	285	142363
2	330	109730
3	373	92989
4	387	77209
5	434	71911
6	477	67792
7	521	64718
8	568	62562
9	612	60615
10	656	59048
11	698	57535
12	741	56275
13	785	55341
14	830	54509
15	875	53844
16	920	53243
17	963	52576
18	1007	52022
19	1054	51684
20	1101	51346
21	1149	51086
22	1178	50039
23	1221	49671
24	1264	49321
25	1307	48979
26	1350	48670
27	1396	48464
28	1441	48270
29	1485	48022
30	1529	47813
31	1576	47686
32	1622	47558
33	1671	47487
34	1715	47299
35	1758	47100
36	1805	46978
37	1852	46904
38	1900	46822
39	1945	46689
40	1990	46552
41	2034	46405
42	2076	46224
43	2119	46042
44	2161	45877
45	2207	45787
46	2249	45617
47	2290	45425
48	2343	45473
49	2396	45527
50	2440	45409
51	2484	45286
52	2526	45148
53	2570	45032
54	2613	44911
55	2656	44786
56	2699	44654
57	2741	44531
58	2785	44427
59	2829	44326
60	2870	44187
61	2913	44073
62	2955	43953
63	3000	43883
64	3044	43788
65	3085	43666
66	3130	43597
67	3174	43510
68	3215	43379
69	3258	43296
70	3303	43220
71	3346	43130
72	3388	43035
73	3435	42990
74	3478	42899
75	3523	42835
76	3577	42879
77	3619	42789
78	3663	42712
79	3710	42674
80	3755	42603
81	3799	42534
82	3843	42464
83	3885	42371
84	3928	42293
85	3971	42204
86	4014	42126
87	4057	42053
88	4099	41965
89	4139	41859
90	4180	41761
91	4220	41653
92	4259	41544
93	4301	41462
94	4341	41357
95	4382	41269
96	4422	41169
97	4466	41108
98	4508	41036
99	4550	40952
100	4592	40875
101	4632	40781
102	4674	40707
103	4717	40640
104	4757	40552
105	4797	40463
106	4839	40389
107	4882	40325
108	4925	40261
109	4967	40192
110	5009	40118
111	5050	40039
112	5094	39988
113	5136	39924
114	5178	39853
115	5224	39817
116	5266	39744
117	5309	39687
118	5353	39631
119	5395	39564
120	5438	39508
121	5481	39447
122	5525	39398
123	5572	39363
124	5613	39292
125	5654	39223
126	5697	39161
127	5740	39106
128	5784	39058
129	5826	38989
130	5867	38923
131	5911	38874
132	5954	38819
133	5995	38747
134	6036	38681
135	6079	38625
136	6120	38555
137	6163	38498
138	6204	38432
139	6247	38377
140	6291	38327
141	6334	38275
142	6376	38211
143	6418	38151
144	6461	38101
145	6502	38035
146	6544	37973
147	6585	37911
148	6625	37840
149	6666	37774
150	6707	37714
151	6754	37681
152	6803	37665
153	6848	37622
154	6891	37567
155	6931	37500
156	6971	37431
157	7013	37373
158	7061	37352
159	7106	37308
160	7146	37241
161	7189	37188
162	7232	37136
